Regex;Lines;Visited;Cache Size(Found);Max CS;Status
((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|(([0-9A-Fa-f]{1,4}:){0,5}:(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|(::([0-9A-Fa-f]{1,4}:){0,5}(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:));;;;;;TIMEOUT while converting to DCA.
((?:[^GyMLwWdEabBhHmsSzZO']+)|(?:'(?:[^']|'')*')|(?:G{1,5}|y{1,4}|M{1,5}|L{1,5}|w{1,2}|W{1}|d{1,2}|E{1,6}|a{1,5}|b{1,5}|B{1,5}|h{1,2}|H{1,2}|m{1,2}|s{1,2}|S{1,3}|z{1,4}|Z{1,5}|O{1,4}))([ \n\t\r\f^ \n\t\r\f]*);;;;;;TIMEOUT while finding cycles.
((?:[0-9A-Fa-f]{1,4}:){6}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|::(?:[0-9A-Fa-f]{1,4}:){5}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){4}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){3}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,2}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){2}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,3}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}:(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,4}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,5}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}|(?:(?:[0-9A-Fa-f]{1,4}:){,6}[0-9A-Fa-f]{1,4})?::);;;;;;TIMEOUT while converting to DCA.
((?:https?:\/\/)?(?:(?:[a-z0-9]?(?:[a-z0-9\-]{1,61}[a-z0-9])?\.[^\.| \n\t\r\f])+[a-z\.]*[a-z]+|(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(?:\.(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3})(?::[0-9]{1,5})*[a-z0-9.,_\/~#&=%+\-\(\)]*);;;;;;TIMEOUT while converting to DCA.
(([0-9a-zA-Z_]+\-+)|([0-9a-zA-Z_]+\.))*[0-9a-zA-Z_]{1,63}\.[a-zA-Z]{2,6}$;2;9;14;6;Text generated.
((2|3)\.(3|4|5|6|7|8)\.([0-9]{1,2}))((a|b|c|rc)[0-9]{1,2})? (.{1,64});2;8;17;1;Text generated.
((4([0-9]{12}|[0-9]{15}))|(5[0-9]{15})|(6011[0-9]{12})|(3(4|7)[0-9]{13}));;;;;;TIMEOUT while converting to DCA.
(.)(.{11})(.{20})(.{32});1;65;65;32;Text generated.
(.)(.{11})(.{52});1;65;65;52;Text generated.
(.{0,255})$;1;1;1;0;Text generated.
(.{1,134});1;2;2;1;Text generated.
(.{1,60});1;2;2;1;Text generated.
(.{1,60})([ \n\t\r\f]|$);1;2;2;1;Text generated.
(.{1,60}|[^ \n\t\r\f]+)(?:[ \n\t\r\f]+|$);2;2;3;1;Text generated.
(.{1,64});1;2;2;1;Text generated.
(.{1,66});1;2;2;1;Text generated.
(.{1,66})(?:[ \n\t\r\f]+|$);1;2;2;1;Text generated.
(.{1,69})[ \n];2;3;4;2;Text generated.
(.{1,70});1;2;2;1;Text generated.
(.{1,72})([ \n\t\r\f]);2;3;4;2;Text generated.
(.{1,72})([ \n\t\r\f]+|\Z);1;2;2;1;Text generated.
(.{1,74});1;2;2;1;Text generated.
(.{1,76});1;2;2;1;Text generated.
(.{1,76})( +|$);1;2;2;1;Text generated.
(.{1,76}[^0-9a-zA-Z_]);2;3;4;2;Text generated.
(.{1,78}) (\|\| |$) ?;2;83;159;78;Text generated.
(.{1,78})(,|$) ?;2;3;4;2;Text generated.
(.{1,78})(?: +|$)\n?|(.{78});2;79;156;78;Text generated.
(.{1,78}[^ \n\t\r\f])(?:[ \n\t\r\f]|$);2;3;4;2;Text generated.
(.{1,80})([ \n\t\r\f]+|$);1;2;2;1;Text generated.
(.{100});1;101;101;100;Text generated.
(.{100}).+;1;102;102;100;Text generated.
(.{100}.*),.*;2;102;103;100;Text generated.
(.{1000,}[^>]*>)<;1;1004;1004;1000;Text generated.
(.{140});1;141;141;140;Text generated.
(.{2,60})\|.{0,200};2;4;5;3;Text generated.
(.{240}[^\]);;;;;;Error while converting to DCA: analýza (.{240}[^\]) - Chybí pravá hranatá závorka (]).
(.{55,78},);2;57;58;56;Text generated.
(.{60,75} );2;62;63;61;Text generated.
(.{60,75},);2;62;63;61;Text generated.
(.{60});1;61;61;60;Text generated.
(.{64});1;65;65;64;Text generated.
(.{64})(.{64});1;129;129;64;Text generated.
(.{64}).*;1;65;65;64;Text generated.
(.{69});1;70;70;69;Text generated.
(.{72});1;73;73;72;Text generated.
(.{75}).+;1;77;77;75;Text generated.
(.{76});1;77;77;76;Text generated.
(.{78});1;79;79;78;Text generated.
(.{80});1;81;81;80;Text generated.
(.{80}[^ \n\t\r\f]+);1;82;82;80;Text generated.
(.|[\r\n]){1,2000};1;2;2;1;Text generated.
(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}|\[?[A-F0-9]*:[A-F0-9:]+\]?)(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;;TIMEOUT while converting to DCA.
